original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
45392	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-13	Parts per billion	9.852174	24.1	22	23	Parts per million	0.018833	0.037	9	34	Parts per billion	0.5042205	1.2	8	1.0	Parts per million	0.3067935	0.7	21	5.0
45396	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-14	Parts per billion	16.169565	30.9	21	28	Parts per million	0.016375	0.038	10	35	Parts per billion	0.8204545000000001	2.6	9	3.0	Parts per million	0.5488225	1.5	6	11.0
45400	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-15	Parts per billion	17.36087	33.0	21	31	Parts per million	0.018667	0.041	10	38	Parts per billion	0.732143	1.6	7	1.0	Parts per million	0.478623	1.4	6	9.0
45404	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-16	Parts per billion	22.169565	42.0	21	40	Parts per million	0.017875	0.041	10	38	Parts per billion	0.9298705	1.5	7	1.0	Parts per million	0.5535325	1.5	6	10.0
45408	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-17	Parts per billion	22.069565	35.9	7	33	Parts per million	0.022167	0.047	10	44	Parts per billion	0.959091	2.4	10	3.0	Parts per million	0.592935	1.7	7	11.0
45412	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-18	Parts per billion	16.652174	30.8	4	28	Parts per million	0.01775	0.036	10	33	Parts per billion	1.0275975000000002	3.3	12	4.0	Parts per million	0.446558	1.5	6	9.0
45416	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-19	Parts per billion	15.96087	25.1	18	24	Parts per million	0.027667	0.054	11	50	Parts per billion	1.1623375	2.3	11	3.0	Parts per million	0.4466485	1.0	7	8.0
45420	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-20	Parts per billion	7.047826	12.8	17	11	Parts per million	0.028417	0.042	10	39	Parts per billion	0.881169	3.0	12	4.0	Parts per million	0.286866	0.4	0	5.0
45424	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-21	Parts per billion	10.06087	21.0	19	20	Parts per million	0.018625	0.022	9	20	Parts per billion	0.5136365	0.8	16	0.0	Parts per million	0.2832425	0.4	18	3.0
45428	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-22	Parts per billion	9.73913	23.6	16	22	Parts per million	0.018583	0.022	19	20	Parts per billion	0.7626625	2.9	14	3.0	Parts per million	0.346739	0.4	8	5.0
45432	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-23	Parts per billion	6.665217	15.7	15	14	Parts per million	0.024	0.03	19	28	Parts per billion	0.3853895	1.0	15	1.0	Parts per million	0.302174	0.4	7	3.0
45436	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-24	Parts per billion	4.421739	13.4	17	12	Parts per million	0.032458	0.036	8	33	Parts per billion	0.330303	0.6	11	0.0	Parts per million	0.295652	0.4	16	3.0
45440	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-10-25	Parts per billion	13.204348	28.0	20	26	Parts per million	0.016792	0.036	9	33	Parts per billion	0.5948055	0.9	21	0.0	Parts per million	0.4435685	1.2	21	8.0
